Cancer	Stage	c	n	original_sens	sens
Anus	I	1	3	0.3333333333333333	0.3333333333333333
Anus	II	3	5	0.6	0.6
Anus	III	5	5	1	1
Anus	IV	0	0	0	1
Bladder	I	3	5	0.6	0.5454545454545454
Bladder	II	2	3	0.6666666666666666	0.5454545454545454
Bladder	III	1	2	0.5	0.5454545454545454
Bladder	IV	0	1	0	0.5454545454545454
Breast	I	5	102	0.049019607843137254	0.049019607843137254
Breast	II	46	110	0.41818181818181815	0.41818181818181815
Breast	III	24	27	0.8888888888888888	0.8888888888888888
Breast	IV	8	8	1	1
Cervix	I	2	8	0.25	0.25
Cervix	II	1	1	1	1
Cervix	III	2	2	1	1
Cervix	IV	0	0	0	1
Colon/Rectum	I	7	14	0.5	0.5
Colon/Rectum	II	16	22	0.7272727272727273	0.7272727272727273
Colon/Rectum	III	31	41	0.7560975609756098	0.7560975609756098
Colon/Rectum	IV	42	45	0.9333333333333333	0.9333333333333333
Esophagus	I	1	6	0.16666666666666666	0.16666666666666666
Esophagus	II	6	8	0.75	0.75
Esophagus	III	16	17	0.9411764705882353	0.9411764705882353
Esophagus	IV	19	19	1	1
Gallbladder	I	0	3	0	0
Gallbladder	II	1	1	1	0.75
Gallbladder	III	2	3	0.6666666666666666	0.75
Gallbladder	IV	4	4	1	1
Head and Neck	I	6	7	0.8571428571428571	0.8571428571428571
Head and Neck	II	12	13	0.9230769230769231	0.9230769230769231
Head and Neck	III	15	16	0.9375	0.9285714285714286
Head and Neck	IV	24	26	0.9230769230769231	0.9285714285714286
Kidney	I	0	37	0	0
Kidney	II	1	4	0.25	0.25
Kidney	III	2	4	0.5	0.5
Kidney	IV	9	11	0.8181818181818182	0.8181818181818182
Liver/Bile-duct	I	3	5	0.6	0.6
Liver/Bile-duct	II	6	7	0.8571428571428571	0.8571428571428571
Liver/Bile-duct	III	6	7	0.8571428571428571	0.8571428571428571
Liver/Bile-duct	IV	10	10	1	1
Lung	I	11	59	0.1864406779661017	0.1864406779661017
Lung	II	18	23	0.782608695652174	0.782608695652174
Lung	III	63	72	0.875	0.875
Lung	IV	97	106	0.9150943396226415	0.9150943396226415
Lymphoid Leukemia	NotStaged	22	38	0.5789473684210527	0.5789473684210527
Lymphoma	I	3	15	0.2	0.2
Lymphoma	II	21	28	0.75	0.75
Lymphoma	III	21	27	0.7777777777777778	0.7777777777777778
Lymphoma	IV	31	39	0.7948717948717948	0.7948717948717948
Melanoma	I	0	3	0	0
Melanoma	II	0	1	0	0
Melanoma	III	0	0	0	0
Melanoma	IV	3	3	1	1
Myeloid Neoplasm	NotStaged	0	4	0	0
Other	NotStaged	0	3	0	0.5
Ovary	I	2	4	0.5	0.3333333333333333
Ovary	II	0	2	0	0.3333333333333333
Ovary	III	23	25	0.92	0.92
Ovary	IV	6	6	1	1
Pancreas	I	8	12	0.6666666666666666	0.6666666666666666
Pancreas	II	11	14	0.7857142857142857	0.7857142857142857
Pancreas	III	14	16	0.875	0.875
Pancreas	IV	40	42	0.9523809523809523	0.9523809523809523
Plasma Cell Neoplasm	I	5	10	0.5	0.5
Plasma Cell Neoplasm	II	9	13	0.6923076923076923	0.6923076923076923
Plasma Cell Neoplasm	III	11	11	1	1
Plasma Cell Neoplasm	IV	0	0	0	1
Prostate	I	0	39	0	0
Prostate	II	5	113	0.04424778761061947	0.04424778761061947
Prostate	III	2	19	0.10526315789473684	0.10526315789473684
Prostate	IV	13	17	0.7647058823529411	0.7647058823529411
Sarcoma	I	2	2	1	0.3333333333333333
Sarcoma	II	0	4	0	0.3333333333333333
Sarcoma	III	2	5	0.4	0.4
Sarcoma	IV	4	6	0.6666666666666666	0.6666666666666666
Stomach	I	1	3	0.3333333333333333	0.3333333333333333
Stomach	II	4	4	1	1
Stomach	III	2	2	1	1
Stomach	IV	8	8	1	1
Thyroid	I	0	2	0	0
Thyroid	II	0	1	0	0
Thyroid	III	0	0	0	0
Thyroid	IV	0	1	0	0
Urothelial Tract	I	1	1	1	0.6
Urothelial Tract	II	2	4	0.5	0.6
Urothelial Tract	III	0	0	0	0.6
Urothelial Tract	IV	0	0	0	0.6
Uterus	I	16	73	0.2191780821917808	0.2191780821917808
Uterus	II	2	3	0.6666666666666666	0.625
Uterus	III	3	5	0.6	0.625
Uterus	IV	2	3	0.6666666666666666	0.6666666666666666
