opt	Cancer	clinical	prequel	found_clinical	caught	s_survival	c_survival	original_survivors	shifted_survivors	original_deaths	shifted_deaths	screen_interval	dw_scenario	scan	mode_found	aggressive
1	Anus	1	1	1	0.31443939181381036	0.9088	0.9088	0.28576251928039087	0.28576251928039087	0.028676872533419488	0.028676872533419488	1	1	incident	cfdna	VSlow
1	Anus	1	1	2	0.8842792011510138	0.9088	0.9088	0.8036329380060414	0.8036329380060414	0.0806462631449724	0.0806462631449724	1	1	incident	soc	VSlow
1	Anus	2	1	1	0.5360135203887573	0.9088	0.8214	0.4402815056473252	0.48712908732930266	0.09573201474143204	0.048884433059454634	1	1	incident	cfdna	VSlow
1	Anus	2	2	1	0.3504691694811095	0.8214	0.8214	0.28787537581178335	0.28787537581178335	0.06259379366932616	0.06259379366932616	1	1	incident	cfdna	VSlow
1	Anus	2	2	2	0.9309293704316408	0.8214	0.8214	0.7646653848725498	0.7646653848725498	0.16626398555909103	0.16626398555909103	1	1	incident	soc	VSlow
1	Anus	3	1	1	0.47518929112478486	0.9088	0.6725	0.3195647982814178	0.4318520277742045	0.15562449284336705	0.04333726335058036	1	1	incident	cfdna	VSlow
1	Anus	3	2	1	0.3867955718082987	0.8214	0.6725	0.26012002204108087	0.31771388268333656	0.12667554976721784	0.06908168912496214	1	1	incident	cfdna	VSlow
1	Anus	3	3	1	0.32390250196291437	0.6725	0.6725	0.2178244325700599	0.2178244325700599	0.10607806939285445	0.10607806939285445	1	1	incident	cfdna	VSlow
1	Anus	3	3	2	0.42529353962661515	0.6725	0.6725	0.2860099053988987	0.2860099053988987	0.13928363422771647	0.13928363422771647	1	1	incident	soc	VSlow
1	Anus	4	1	1	0.14825905883093288	0.9088	0.2353	0.03488535654291851	0.1347378326655518	0.11337370228801436	0.01352122616538107	1	1	incident	cfdna	VSlow
1	Anus	4	2	1	0.12068021840418919	0.8214	0.2353	0.028396055390505718	0.099126731397201	0.09228416301368346	0.021553487006988187	1	1	incident	cfdna	VSlow
1	Anus	4	3	1	0.14775774521391125	0.6725	0.2353	0.034767397448833316	0.09936708365635531	0.11299034776507792	0.048390661557555933	1	1	incident	cfdna	VSlow
1	Anus	4	4	1	0.03717696632401878	0.2353	0.2353	0.00874774017604162	0.00874774017604162	0.02842922614797716	0.02842922614797716	1	1	incident	cfdna	VSlow
1	Anus	4	4	2	0.04881445343800315	0.2353	0.2353	0.011486040893962142	0.011486040893962142	0.037328412544041005	0.037328412544041005	1	1	incident	soc	VSlow
1	Bladder	1	1	1	5.991610401326117	0.8622	0.8622	5.165966488023378	5.165966488023378	0.8256439133027391	0.8256439133027391	1	1	incident	cfdna	VSlow
1	Bladder	1	1	2	6.1280612813004245	0.8622	0.8622	5.283614436737226	5.283614436737226	0.8444468445631987	0.8444468445631987	1	1	incident	soc	VSlow
1	Bladder	2	1	1	2.854380420633016	0.8622	0.618	1.7640070999512039	2.4610467986697864	1.090373320681812	0.3933336219632297	1	1	incident	cfdna	VSlow
1	Bladder	2	2	1	0.11418266126190861	0.618	0.618	0.07056488465985952	0.07056488465985952	0.04361777660204909	0.04361777660204909	1	1	incident	cfdna	VSlow
1	Bladder	2	2	2	2.5304793257658136	0.618	0.618	1.5638362233232728	1.5638362233232728	0.9666431024425408	0.9666431024425408	1	1	incident	soc	VSlow
1	Bladder	3	1	1	1.1417521682532066	0.8622	0.495	0.5651673232853373	0.9844187194679147	0.5765848449678693	0.1573334487852919	1	1	incident	cfdna	VSlow
1	Bladder	3	2	1	0.051352641153257855	0.618	0.495	0.025419557370862638	0.03173593223271336	0.025933083782395217	0.019616708920544502	1	1	incident	cfdna	VSlow
1	Bladder	3	3	1	0.004226525908476508	0.495	0.495	0.002092130324695871	0.002092130324695871	0.0021343955837806365	0.0021343955837806365	1	1	incident	cfdna	VSlow
1	Bladder	3	3	2	1.0022856277493548	0.495	0.495	0.49613138573593063	0.49613138573593063	0.5061542420134242	0.5061542420134242	1	1	incident	soc	VSlow
1	Bladder	4	1	1	2.108284944348742	0.8622	0.1628	0.3432287889399752	1.8177632790174854	1.7650561554087667	0.29052166533125673	1	1	incident	cfdna	VSlow
1	Bladder	4	2	1	0.09482443143646127	0.618	0.1628	0.015437417437855894	0.05860149862773306	0.07938701399860537	0.03622293280872821	1	1	incident	cfdna	VSlow
1	Bladder	4	3	1	0.009715871708131724	0.495	0.1628	0.0015817439140838447	0.004809356495525203	0.00813412779404788	0.004906515212606521	1	1	incident	cfdna	VSlow
1	Bladder	4	4	1	0.001137271093879892	0.1628	0.1628	1.8514773408364642e-4	1.8514773408364642e-4	9.521233597962455e-4	9.521233597962455e-4	1	1	incident	cfdna	VSlow
1	Bladder	4	4	2	1.8477064280612114	0.1628	0.1628	0.3008066064883652	0.3008066064883652	1.546899821572846	1.546899821572846	1	1	incident	soc	VSlow
1	Breast	1	1	1	3.9995022765813273	0.9824	0.9824	3.929111036513496	3.929111036513496	0.07039124006783115	0.07039124006783115	1	1	incident	cfdna	VSlow
1	Breast	1	1	2	86.02111157410037	0.9824	0.9824	84.50714001039621	84.50714001039621	1.5139715637041622	1.5139715637041622	1	1	incident	soc	VSlow
1	Breast	2	1	1	2.6187206477701945	0.9824	0.9286	2.4317439935194027	2.5726311643694393	0.18697665425079193	0.04608948340075529	1	1	incident	cfdna	VSlow
1	Breast	2	2	1	16.413154294552804	0.9286	0.9286	15.241255077921734	15.241255077921734	1.1718992166310704	1.1718992166310704	1	1	incident	cfdna	VSlow
1	Breast	2	2	2	37.10563181483959	0.9286	0.9286	34.45628970326004	34.45628970326004	2.6493421115795472	2.6493421115795472	1	1	incident	soc	VSlow
1	Breast	3	1	1	0.8334286818699113	0.9824	0.7653	0.6378229702350431	0.8187603370690009	0.1956057116348682	0.014668344800910395	1	1	incident	cfdna	VSlow
